ADM_RATE,SAT_AVG,UGDS,COSTT4_A,C150_4,UGDS_WOMEN,STUFACR,MD_EARN_WNE_1YR,STATE
0.6913,1015.0,1145.0,48886.0,0.4045,0.3485,10.0,47340.0,Kansas
0.474,1095.0,599.0,40641.0,0.4317,0.3773,10.0,34058.0,Kansas
0.9106,1132.0,10466.0,20571.0,0.4767,0.5529,19.0,43532.0,Kansas
0.855,1191.0,2356.0,57342.0,0.6521,0.6312,12.0,45831.0,Kentucky
0.5313,1094.0,702.0,37749.0,0.4932,0.6481,12.0,34300.0,Kentucky
0.8503,1070.0,4379.0,24319.0,0.4804,0.6586,20.0,40955.0,Kentucky
0.9835,1084.0,10987.0,23395.0,0.4777,0.5916,15.0,36768.0,Kentucky
0.9401,1232.0,21358.0,30672.0,0.6815,0.5693,16.0,41289.0,Kentucky
0.5768,984.0,514.0,35794.0,0.3645,0.3307,12.0,37123.0,Kentucky
0.7469,1182.0,13815.0,28984.0,0.6248,0.5452,13.0,44418.0,Kentucky
0.7774,1098.0,1168.0,40816.0,0.5833,0.6712,15.0,37481.0,Kentucky
0.8516,1156.0,6744.0,21358.0,0.5587,0.6179,16.0,36067.0,Kentucky
0.8029,1146.0,8982.0,17112.0,0.478,0.5969,17.0,39816.0,Kentucky
0.8978,1045.0,683.0,40042.0,0.4246,0.7042,10.0,46860.0,Kentucky
0.5643,1017.0,776.0,39252.0,0.3709,0.4665,13.0,39589.0,Kentucky
0.6313,1197.0,514.0,56169.0,0.5669,0.5778,8.0,26755.0,Louisiana
0.7246,942.0,4405.0,24135.0,0.2885,0.6386,24.0,26496.0,Louisiana
0.7086,1247.0,26455.0,33592.0,0.6899,0.5426,22.0,41032.0,Louisiana
0.9073,1134.0,2196.0,19291.0,0.3775,0.6148,24.0,33645.0,Louisiana
0.7609,1065.0,869.0,28362.0,0.2749,0.4465,11.0,41580.0,Louisiana
0.6583,1203.0,7785.0,23174.0,0.5887,0.4416,20.0,43161.0,Louisiana
0.6876,1116.0,5202.0,21296.0,0.4216,0.6142,19.0,40877.0,Louisiana
0.8058,1089.0,5629.0,21169.0,0.389,0.5129,19.0,37381.0,Louisiana
0.9719,1135.0,5181.0,21100.0,0.5025,0.6352,16.0,38389.0,Louisiana
0.6989,1108.0,5376.0,21829.0,0.5353,0.6629,18.0,39663.0,Louisiana
0.9628,1015.0,7513.0,23156.0,0.4412,0.7298,19.0,41813.0,Louisiana
0.75,1000.0,530.0,23846.0,0.2976,0.8377,10.0,53152.0,Louisiana
0.5453,1065.0,906.0,25808.0,0.3867,0.8377,10.0,52557.0,Louisiana
0.5888,943.0,5178.0,24045.0,0.3195,0.6692,20.0,36657.0,Louisiana
0.7835,1105.0,12612.0,22737.0,0.5013,0.5783,19.0,40697.0,Louisiana
0.0963,1431.0,8700.0,78326.0,0.8597,0.612,8.0,41567.0,Louisiana
0.9541,1119.0,2727.0,36770.0,0.5,0.7671,13.0,23293.0,Louisiana
0.9646,1180.0,9246.0,25127.0,0.5679,0.4844,16.0,40871.0,Maine
0.8058,1125.0,1066.0,54309.0,0.6844,0.637,8.0,52030.0,Maine
0.8699,1112.0,4668.0,17748.0,0.3449,0.6022,13.0,43334.0,Maine
0.8943,1040.0,1579.0,25160.0,0.3796,0.6054,11.0,44181.0,Maryland
0.8704,932.0,5279.0,22835.0,0.4186,0.6115,18.0,38877.0,Maryland
0.4792,920.0,1785.0,14332.0,0.2645,0.781,10.0,46307.0,Maryland
0.8605,1089.0,3289.0,25170.0,0.4758,0.5512,13.0,39095.0,Maryland
0.8234,1251.0,1054.0,52476.0,0.5851,0.6528,8.0,33093.0,Maryland
0.812,1312.0,10747.0,15880.0,0.7095,0.4554,17.0,44729.0,Maryland
0.5203,1426.0,30368.0,26915.0,0.8765,0.492,18.0,52665.0,Maryland
0.871,971.0,7027.0,23375.0,0.4392,0.6166,16.0,39745.0,Maryland
0.7733,1256.0,1507.0,30817.0,0.7277,0.5793,10.0,31833.0,Maryland
0.5315,1376.0,473.0,50439.0,0.7549,0.4715,8.0,28876.0,Maryland
0.8792,1134.0,17817.0,19718.0,0.7228,0.5954,16.0,45600.0,Maryland
0.5787,1025.0,1269.0,50598.0,0.4243,0.5855,17.0,58321.0,Massachusetts
0.2535,1412.0,2532.0,74300.0,0.9371,0.4297,16.0,68271.0,Massachusetts
0.7541,1112.0,1484.0,46404.0,0.5056,1.0,12.0,43023.0,Massachusetts
0.6094,1335.0,3942.0,71942.0,0.8798,0.3919,12.0,67078.0,Massachusetts
0.1904,1485.0,9797.0,78200.0,0.9078,0.5287,14.0,60375.0,Massachusetts
0.1865,1447.0,17501.0,76389.0,0.8935,0.5802,11.0,51077.0,Massachusetts
0.3914,1455.0,3577.0,74091.0,0.8753,0.5938,10.0,45085.0,Massachusetts
0.8638,1108.0,8142.0,19576.0,0.6244,0.5929,19.0,39386.0,Massachusetts
0.4803,1316.0,2290.0,59182.0,0.7895,0.579,9.0,37538.0,Massachusetts
0.8032,1124.0,2025.0,57496.0,0.545,0.5975,12.0,55185.0,Massachusetts
0.6408,1135.0,491.0,38283.0,0.5688,0.4827,10.0,37958.0,Massachusetts
0.4528,1325.0,4113.0,74288.0,0.7877,0.6441,13.0,30308.0,Massachusetts
0.7388,1227.0,1792.0,56676.0,0.7027,0.7746,13.0,39555.0,Massachusetts
0.7235,952.0,1086.0,49424.0,0.3561,0.6575,12.0,41154.0,Massachusetts
0.8527,1082.0,3168.0,22908.0,0.5711,0.5414,13.0,44812.0,Massachusetts
0.838,1092.0,3035.0,23678.0,0.5053,0.5638,11.0,41396.0,Massachusetts
0.7743,1267.0,1336.0,52113.0,0.7208,0.6048,11.0,37453.0,Massachusetts
0.0401,1534.0,7938.0,74171.0,0.9674,0.5081,7.0,86549.0,Massachusetts
0.8506,1217.0,1294.0,54503.0,0.6667,0.6391,12.0,37126.0,Massachusetts
0.8457,1261.0,12546.0,22152.0,0.6903,0.4114,18.0,53918.0,Massachusetts
0.6553,1362.0,23947.0,26579.0,0.8371,0.5116,18.0,48713.0,Massachusetts
0.789,1182.0,11949.0,28706.0,0.4902,0.5826,15.0,47008.0,Massachusetts
0.9771,1245.0,3664.0,54367.0,0.6727,0.7563,12.0,68814.0,Massachusetts
0.523,1430.0,2214.0,59800.0,0.8496,1.0,10.0,30716.0,Massachusetts
0.8477,1076.0,1204.0,52126.0,0.5759,0.3347,16.0,46193.0,Massachusetts
0.1838,1500.0,15645.0,75732.0,0.9057,0.5413,15.0,67204.0,Massachusetts
0.6792,1123.0,1015.0,49563.0,0.6813,0.7675,11.0,48241.0,Massachusetts
0.8353,1268.0,1746.0,49666.0,0.707,1.0,9.0,49907.0,Massachusetts
0.2991,1456.0,2566.0,72636.0,0.9097,0.9992,9.0,31795.0,Massachusetts
0.769,1222.0,2056.0,54939.0,0.7308,0.5063,11.0,35851.0,Massachusetts
0.9222,1144.0,5618.0,29588.0,0.5413,0.5158,15.0,47399.0,Massachusetts
0.8803,1188.0,4187.0,57831.0,0.6032,0.5882,13.0,45060.0,Massachusetts
0.1143,1506.0,6628.0,78983.0,0.9381,0.5527,10.0,55909.0,Massachusetts
0.8954,1241.0,3866.0,50966.0,0.7175,0.2175,16.0,71634.0,Massachusetts
0.8988,1209.0,2579.0,53760.0,0.6314,0.4226,13.0,51375.0,Massachusetts
0.9435,1084.0,3974.0,24422.0,0.6057,0.5561,21.0,38029.0,Massachusetts
0.8932,1113.0,4271.0,18674.0,0.609,0.617,14.0,40647.0,Massachusetts
0.7599,1064.0,1741.0,55669.0,0.5269,0.4658,15.0,35744.0,Michigan
0.8151,1180.0,1315.0,42156.0,0.7159,0.5125,10.0,45809.0,Michigan
0.8904,1092.0,1155.0,46100.0,0.6033,0.574,10.0,32472.0,Michigan
0.7506,1246.0,2963.0,51965.0,0.7729,0.5258,12.0,39819.0,Michigan
0.7708,1120.0,11323.0,26085.0,0.6167,0.6072,17.0,40693.0,Michigan
0.7587,1059.0,612.0,35234.0,0.5098,0.3905,18.0,46754.0,Michigan
