ADM_RATE,SAT_AVG,C150_4,UGDS_WOMEN,STUFACR
0.7691,1120.0,0.63,0.6671,16.0
0.3891,1086.0,0.4188,0.6606,15.0
0.6402,1106.0,0.5366,0.6752,10.0
0.9909,1068.0,0.5818,0.5234,21.0
0.9978,1020.0,0.4393,0.5973,10.0
0.6211,975.0,0.3895,0.6504,15.0
0.6806,1208.0,0.6154,0.5087,9.0
0.8966,1201.0,0.6839,0.5765,16.0
0.9929,1083.0,0.4472,0.8184,11.0
0.7861,900.0,0.271,0.5767,12.0
0.49,1185.0,0.6273,0.5994,13.0
0.7612,1228.0,0.5973,0.5038,17.0
0.9579,1135.0,0.5179,0.6465,16.0
0.5581,992.0,0.3377,0.6199,9.0
0.5745,1217.0,0.6026,0.7122,13.0
0.68,1050.0,0.3911,0.6096,10.0
0.593,1068.0,0.4286,0.5345,10.0
0.9254,1102.0,0.4885,0.431,14.0
0.6542,1249.0,0.6028,0.5627,12.0
0.7811,1100.0,0.6124,0.622,10.0
0.6505,1116.0,0.3896,0.5396,10.0
0.7484,1138.0,0.5313,0.5601,13.0
0.9154,1132.0,0.7323,0.6867,13.0
0.618,1124.0,0.4055,0.5379,20.0
0.9687,1083.0,0.3699,0.6076,15.0
0.6588,970.0,0.2523,0.3856,15.0
0.7655,1263.0,0.7251,0.5414,18.0
0.7598,1239.0,0.5676,0.5917,14.0
0.854,1345.0,0.6344,0.2276,19.0
0.5661,1225.0,0.5755,0.557,14.0
0.6099,1278.0,0.7205,0.6007,13.0
0.8558,1104.0,0.5242,0.5931,19.0
0.6666,1139.0,0.7421,0.6601,13.0
0.7005,1355.0,0.7996,0.6147,9.0
0.9108,1185.0,0.766,0.6496,7.0
0.9621,1101.0,0.5172,0.6471,11.0
0.6366,1086.0,0.5316,1.0,8.0
0.9385,1146.0,0.5948,0.5961,19.0
0.13,1524.0,0.9312,0.5283,7.0
0.5945,1166.0,0.5704,0.5625,11.0
0.47,1189.0,0.6531,0.5045,10.0
0.8392,1200.0,0.6744,0.6116,11.0
1.0,1070.0,0.3865,0.6348,8.0
0.8984,1172.0,0.5734,0.3899,13.0
0.73,1176.0,0.5452,0.4633,18.0
0.8214,1126.0,0.4772,0.5791,15.0
0.8066,1097.0,0.523,0.4882,12.0
0.8475,1151.0,0.5821,0.5134,14.0
0.7775,1300.0,0.7885,0.5926,11.0
0.9032,1097.0,0.5796,0.6246,13.0
0.6375,1076.0,0.4498,0.4958,13.0
0.8725,1100.0,0.5044,0.5541,15.0
0.8181,1246.0,0.6583,0.567,12.0
0.8107,1219.0,0.6641,0.4948,16.0
0.9848,1082.0,0.5988,0.561,10.0
0.618,995.0,0.422,0.4644,11.0
0.8816,1153.0,0.6268,0.5308,17.0
0.0617,1508.0,0.936,0.4935,7.0
0.8672,1215.0,0.7784,0.5635,17.0
0.8809,1079.0,0.5991,0.5464,15.0
0.8403,941.0,0.3776,0.6113,14.0
0.9596,1155.0,0.5904,0.6182,13.0
0.9762,1066.0,0.6844,0.6355,12.0
0.9198,1020.0,0.5203,0.7267,14.0
0.796,1121.0,0.5839,0.7519,10.0
0.8377,1181.0,0.6859,0.4736,17.0
0.9066,1015.0,0.3901,0.5801,14.0
0.7916,1023.0,0.4772,0.6149,16.0
0.8354,1161.0,0.6924,0.6175,12.0
0.9061,1110.0,0.6732,0.6133,17.0
0.6914,1314.0,0.7369,0.2472,15.0
0.0438,1517.0,0.9757,0.499,5.0
0.701,1197.0,0.7174,0.5765,15.0
0.8195,1194.0,0.6086,0.5813,10.0
0.787,1131.0,0.7085,0.6254,14.0
0.6816,1359.0,0.8373,0.5,15.0
0.7743,1154.0,0.649,0.5476,13.0
0.9284,1070.0,0.5845,0.6227,11.0
